color,id,label,shape,size,value
#6419E2,600307,DOM: Core & HTML,circle,25,Rewrite and cleanup DOMStorage code
#772554,661769,DOM,circle,23,Clear All History sessionStorage problem
#38283A,686049,DOM,circle,29,LocalStorage length getter performance is low (Firefox 5.0)
#C22B9A,712009,DOM,circle,32,Move localStorage writes out of mainthread
#F233D4,677851,DOM,triangle,17,Setting location.hash with javascript when loaded URL ends with empty hash location produces error
#8BA176,359103,DOM,triangle,16,Crashes [@ nsMimeTypeArray::GetMimeTypes]
#BCBF76,44352,DOM,triangle,17,graceful handling of *really* low memory conditions
#AAE89D,900994,DOM,triangle,21,Support Func extended attributes on interfaces
#278918,778656,DOM,triangle,23,login button not working
#53F6C5,874413,DOM,triangle,22,CORS with preflight and 303 redirect fails
#72D26D,494810,DOM,triangle,24,ASSERTION: GetSessionStorageForPrincipal got a storage that could not be accessed!
#BCB58E,214294,DOM,triangle,24,this.innerHTML from a span-tag is broken in this particular example.
#1D4B19,820476,DOM,triangle,20,Intermittent dom/workers/test/test_fibonacci.html | Test timed out.
#AE2858,199430,DOM,triangle,16,eventhandlers still fire while a new page is loading
#A73E5D,742197,DOM,triangle,24,Verify that unannotated string conversions are correct in Paris bindings
#5564A4,737244,DOM,triangle,19,Intermittent test_memoryReporters.xul | Exited with code 1 during test run (or application timed out after 330 seconds with no output) from a crash above mozilla::dom::workers::WorkerPrivate::BlockAndCollectRuntimeStats
#75337E,340072,DOM,triangle,18,No increasing number value in session and persistent storage
#5D4D1E,601002,DOM,triangle,18,`onpopstate in window` returns false (should be true)
#F2FFBE,582840,DOM,triangle,21,Remove nsIWebProgressListener(2) support from TabChild and TabParent
#28F82C,815355,DOM,triangle,17,Failure in MW1: Music stays alive; Music doesnt stay alive
#1AEEA9,664470,DOM,triangle,23,Unlink document some more
#E99434,751529,DOM,diamond,50,Unlink document some more
