color,id,label,shape,size,value
#795EFC,894945,DOM,circle,33,Intermittent dom-level2-core/test_getElementsByTagNameNS05.html | Test timed out.
#CC271C,899337,DOM,circle,32,Intermittent dom/tests/mochitest/dom-level2-html/test_HTMLElement29.html | Test timed out.
#6DDF61,908271,DOM,circle,26,Intermittent dom-level1-core/test_hc_attrappendchild2.html | Test timed out.
#A25194,918831,General,circle,29,Intermittent dom-level1-core/test_hc_namednodemapsetnameditemthatexists.html | application timed out after 330 seconds with no output
#1EDAC2,919323,DOM,circle,28,Intermittent dom-level1-core/test_hc_elementretrievetagname.html | Test timed out
#CEA981,919354,DOM,circle,30,Intermittent dom-level2-core/test_setAttributeNS09.html | application timed out after 330 seconds with no output
#672D49,920501,DOM,circle,29,Intermittent dom-level1-core/test_textsplittextfour.html | application timed out after 330 seconds with no output
#ECD226,920894,DOM: Core & HTML,circle,22,Intermittent dom-level2-core/test_hasAttribute01.html | Test timed out
#4BEF28,924341,DOM,circle,29,Intermittent TEST-UNEXPECTED-FAIL | /tests/dom/tests/mochitest/dom-level1-core/test_nodevalue05.html | application timed out after 330 seconds with no output
#BA3242,924352,DOM,circle,33,Intermittent TEST-UNEXPECTED-FAIL | /tests/dom/tests/mochitest/dom-level1-core/test_hc_nodeinsertbeforenodename.html | Test timed out.
#547A5B,925714,DOM,circle,27,Intermittent TEST-UNEXPECTED-FAIL | /tests/dom/tests/mochitest/dom-level1-core/test_hc_nodehaschildnodesfalse.html | Test timed out.
#EC1847,926344,DOM,circle,24,Intermittent TEST-UNEXPECTED-FAIL | /tests/dom/tests/mochitest/dom-level1-core/test_nodeappendchildnomodificationallowederr.html | Test timed out.
#4EBEB1,926349,DOM,circle,25,Intermittent TEST-UNEXPECTED-FAIL | /tests/dom/tests/mochitest/dom-level2-html/test_HTMLCollection04.html | application timed out after 330 seconds with no output
#CAFC81,709585,DOM,triangle,20,Add API to shut down and reboot device
#94254C,356978,DOM,triangle,18,[FIX]popup fails
#3B17B9,453865,DOM,triangle,15,Workers: Allow JSON-able objects to be passed as messages to worker threads
#F4613A,668361,DOM,triangle,16,File ctor should fail if passed a directory
#3F2F85,523948,DOM,triangle,22,UnsetAttr should fire the mutation event after the removal; not before
#436EBD,836811,DOM,triangle,25,crash in nsMixedContentBlocker::ShouldLoad
#91F99E,868312,DOM,triangle,16,Rooting fixes for dom
#926122,820867,DOM,triangle,15,Intermittent imptests/webapps/DOMCore/tests/submissions/Ms2ger/test_Document-getElementById.html | Test timed out.
#E516E7,926885,DOM,diamond,50,Intermittent imptests/webapps/DOMCore/tests/submissions/Ms2ger/test_Document-getElementById.html | Test timed out.
